phenomenon|现象，奇迹
dilemma|困境，进退两难
perspective|视角，远景
controversy|争议，争论
contradiction|矛盾，冲突
principle|原则，原理
fundamental|基本的，根本的
significant|重要的，有意义的
considerable|相当大的，可观的
consequence|结果，后果
substance|物质，实质
adequate|足够的，适当的
appropriate|适当的，恰当的
approximate|大约的，近似的
arbitrary|任意的，武断的
abstract|抽象的；摘要
academic|学术的
access|接近，通道
accommodate|容纳，提供住宿
accompany|陪伴，伴奏
accomplish|完成，实现
accumulate|积累，积聚
accurate|准确的，精确的
accuse|指责，控告
acknowledge|承认；感谢
acquire|获得，取得
adapt|适应，改编
adequate|足够的，适当的
adjust|调整，调节
administration|管理，行政部门
advocate|提倡，拥护
affect|影响
aggressive|侵略性的；有进取心的
alcohol|酒精，酒
alternative|可供选择的
ambiguous|模棱两可的
ambition|野心，雄心
ample|足够的，宽敞的
analyze|分析，解析
anticipate|预料，预期
anxiety|焦虑，忧虑
apologize|道歉
apparent|显然的，表面上的
appeal|呼吁；上诉
appetite|胃口，欲望
appliance|器具，装置
applicant|申请人
appoint|任命，约定
appreciate|欣赏；感激
approach|方法；靠近
approve|批准，赞成
arise|出现；升起
arouse|引起，唤醒
artificial|人造的，假的
aspect|方面，面貌
assemble|集合，组装
assess|评估，评价
asset|资产，优点
assign|分配，指派
assist|帮助，协助
assume|假定，承担
assure|保证，确保
atmosphere|大气；气氛
attach|附上，系上
attain|获得，达到
attitude|态度，看法
attribute|属性；归因于
authority|权威；当局
automatic|自动的
available|可获得的，有空的
award|奖品，奖金
aware|知道的，意识到的
bacteria|细菌
barrier|障碍，屏障
basis|基础，根据
beneficial|有益的，有利的
bid|出价；命令
bind|捆绑，约束
blame|责备，责怪
blend|混合，融合
bless|祝福，保佑
bold|大胆的，醒目的
boom|繁荣，激增
boost|提高，推动
bother|打扰，麻烦
boundary|边界，分界线
breed|繁殖，滋生
brief|简短的，简洁的
brilliant|杰出的，辉煌的
browse|浏览，随意翻阅
budget|预算
burden|负担，重担
cabinet|橱柜；内阁
calculate|计算，核算
campaign|运动，战役
candidate|候选人，报考者
capacity|容量；能力
capture|捕获，占领
casual|随意的，非正式的
catalogue|目录
category|类别，种类
cease|停止，终止
celebrate|庆祝，祝贺
certificate|证书，证明书
challenge|挑战，难题
characteristic|特征，特点
charity|慈善，慈善机构
charm|魅力，吸引力
chase|追逐，追求
cheat|欺骗，作弊
circumstance|情况，环境
civil|公民的；国内的
clarify|澄清，阐明
classic|经典的，古典的
clue|线索，提示
coach|教练；长途汽车
collapse|倒塌，崩溃
collision|碰撞，冲突
column|列，专栏
combine|结合，联合
commander|指挥官
comment|评论，意见
commerce|商业，贸易
commission|委员会；佣金
commit|犯（罪）；承诺
committee|委员会
communication|交流，通讯
community|社区，社会
comparison|比较，对照
compensate|补偿，赔偿
competent|有能力的，能胜任的
competitive|竞争的，有竞争力的
complain|抱怨，投诉
complex|复杂的；复合的
component|组成部分，成分
compose|组成；作曲
compound|复合物；复合的
comprehension|理解（力）
comprehensive|全面的，综合的
compromise|妥协，折衷
conceal|隐藏，隐瞒
concentrate|集中；浓缩
concept|概念，观念
concern|关心；涉及
conclude|推断出；结束
concrete|具体的；混凝土
condemn|谴责，判刑
conduct|行为；引导
conference|会议，研讨会
confess|坦白，承认
confidence|信心，自信
confine|限制；监禁
confirm|确认，证实
conflict|冲突，矛盾
confront|面对，遭遇
confuse|使困惑；混淆
congratulate|祝贺，恭喜
connect|连接，联系
conquer|征服，战胜
conscience|良心，道德心
conscious|有意识的，神志清醒的
consent|同意，准许
conserve|保存，保护
consider|考虑，认为
consist|由...组成
consistent|一致的，始终如一的
constant|不断的，持续的
constitute|组成，构成
consult|咨询，商量
consume|消耗，消费
contact|接触；联系
contemporary|当代的，同时代的
contest|竞赛，比赛
context|上下文，语境
contract|合同；收缩
contrary|相反的；对立面
contrast|对比，对照
contribute|贡献；捐助
controversial|有争议的，引起争议的
convenient|方便的，便利的
conventional|传统的，常规的
convert|转变，转换
convey|表达，传达
convince|说服，使确信
cooperate|合作，协作
coordinate|协调，调节
cope|应付，处理
correspond|符合；通信
council|理事会，委员会
counsel|劝告，建议
counter|柜台；计数器
crack|裂缝；爆裂声
craft|工艺；手艺
crash|碰撞；坠毁
create|创造，产生
credit|信用；学分
creep|爬行，匍匐
crisis|危机，紧要关头
critic|批评家，评论家
critical|关键的；批评的
criticism|批评，指责
criticize|批评，评论
crowd|人群；拥挤
crucial|至关重要的，决定性的
crude|天然的，粗糙的
cue|提示，暗示
cultivate|培养，耕作
curiosity|好奇心
currency|货币，通货
current|当前的；水流
curse|诅咒，咒骂
curve|曲线，弯曲
custom|习惯，风俗
cycle|循环，周期
