afford|负担得起
appreciate|欣赏；感激
appoint|任命，约定
approach|方法；靠近
appropriate|适当的，恰当的
approve|批准，赞成
approximately|大约，近似地
arise|出现；升起
arouse|引起，唤醒
assume|假定，承担
attach|附上，系上
attain|获得，达到
attribute|属性；归因于
available|可获得的，有空的
awkward|笨拙的；尴尬的
barrier|障碍，屏障
behave|表现，举止
beneficial|有益的，有利的
blame|责备，责怪
boost|提高，推动
bother|打扰，麻烦
brief|简短的，简洁的
budget|预算
campaign|运动，战役
candidate|候选人，报考者
capacity|容量；能力
casual|随意的，非正式的
cease|停止，终止
challenge|挑战，难题
characteristic|特征，特点
circumstance|情况，环境
collapse|倒塌，崩溃
collision|碰撞，冲突
combine|结合，联合
commit|犯（罪）；承诺
comparison|比较，对照
compensate|补偿，赔偿
competent|有能力的，能胜任的
complain|抱怨，投诉
complex|复杂的；复合的
component|组成部分，成分
compose|组成；作曲
comprehensive|全面的，综合的
compromise|妥协，折衷
conceal|隐藏，隐瞒
concentrate|集中；浓缩
concept|概念，观念
concern|关心；涉及
conclude|推断出；结束
concrete|具体的；混凝土
condemn|谴责，判刑
conduct|行为；引导
conference|会议，研讨会
confess|坦白，承认
confine|限制；监禁
confirm|确认，证实
conflict|冲突，矛盾
confront|面对，遭遇
confuse|使困惑；混淆
conscious|有意识的，神志清醒的
consent|同意，准许
conserve|保存，保护
considerable|相当大的，可观的
considerate|体贴的，考虑周到的
consist|由...组成
consistent|一致的，始终如一的
constant|不断的，持续的
constitute|组成，构成
consult|咨询，商量
consume|消耗，消费
contemporary|当代的，同时代的
contest|竞赛，比赛
context|上下文，语境
contract|合同；收缩
contrary|相反的；对立面
contrast|对比，对照
contribute|贡献；捐助
controversial|有争议的，引起争议的
convenient|方便的，便利的
conventional|传统的，常规的
convert|转变，转换
convey|表达，传达
convince|说服，使确信
coordinate|协调，调节
cope|应付，处理
correspond|符合；通信
council|理事会，委员会
counter|柜台；计数器
crack|裂缝；爆裂声
craft|工艺；手艺
crash|碰撞；坠毁
credit|信用；学分
crisis|危机，紧要关头
critical|关键的；批评的
criticize|批评，评论
crowd|人群；拥挤
crucial|至关重要的，决定性的
cultivate|培养，耕作
currency|货币，通货
current|当前的；水流
debate|辩论，争论
decade|十年，十年期
decline|下降，拒绝
decorate|装饰，装潢
decrease|减少，降低
dedicate|奉献，献身
defeat|击败，战胜
defend|防御，保卫
define|定义，界定
definite|明确的，一定的
delay|耽搁，延迟
delete|删除，删去
delicate|精致的，脆弱的
deliver|递送，发表
demonstrate|证明，示范
dense|密集的，稠密的
deny|否认，拒绝
depart|离开，出发
dependent|依赖的，依靠的
depress|使沮丧，压下
derive|源自，取得
descend|下降，下来
deserve|应得，值得
desirable|可取的，令人满意的
desperate|绝望的，孤注一掷的
despite|尽管，不管
destination|目的地，终点
destruction|破坏，毁灭
detect|察觉，发现
determine|决定，确定
device|设备，装置
devote|奉献，致力于
dialogue|对话，对白
dictate|口述；命令
digest|消化；摘要
digital|数字的，数码的
dignity|尊严，高贵
dilemma|困境，进退两难
dimension|尺寸，维度
discard|丢弃，抛弃
discharge|释放；排出
discipline|纪律；学科
discount|折扣
discourage|使泄气，阻碍
disguise|伪装，掩饰
disgust|厌恶，反感
dismiss|解雇；解散
disorder|混乱，骚乱
display|展示，陈列
dispose|处理，安排
dispute|争论，争端
dissolve|溶解；解散
distinct|清晰的，明显的
distinguish|区分，辨别
distribute|分配，分发
disturb|打扰，妨碍
diverse|多样的，不同的
divide|分开，划分
division|划分，部门
domestic|家庭的；国内的
dominate|支配，占优势
donate|捐赠，赠送
draft|草案，草图
dramatic|戏剧性的，引人注目的
drift|漂流，漂移
drown|溺死，淹没
duration|持续时间，期间
dynamic|动态的，有活力的
eager|渴望的，热切的
earnest|认真的，诚挚的
ease|容易，舒适
echo|回声，回音
economic|经济的，经济学的
economical|节约的，经济的
edition|版本，版
editor|编辑，编者
effective|有效的，起作用的
efficient|高效的，有能力的
elaborate|详尽的；精心制作的
elastic|有弹性的，灵活的
elect|选举，推选
elegant|优雅的，优美的
elementary|基本的，初级的
eliminate|消除，排除
embarrass|使尴尬，使为难
embrace|拥抱；欣然接受
emerge|浮现，出现
emergency|紧急情况，突发事件
emit|散发，发射
emotion|情感，情绪
emphasis|强调，重点
employ|雇佣，使用
enclose|围住，封入
encounter|遭遇，遇到
endure|忍受，忍耐
enforce|实施，执行
engage|从事，占用
enhance|提高，增强
enormous|巨大的，庞大的
ensure|确保，保证
entertain|娱乐，招待
enthusiasm|热情，热心
entitle|给...权利，给...题名
entry|进入，入口处
environment|环境，外界
episode|插曲，片段
equip|装备，配备
equivalent|相等的，等价物
era|时代，纪元
erect|竖立，建立
essential|必不可少的，本质的
establish|建立，设立
estimate|估计，估价
evaluate|评估，评价
evaporate|蒸发，挥发
eventual|最终的，最后的
evidence|证据，证明
evident|明显的，显然的
evil|邪恶的，罪恶的
evolution|进化，演变
exaggerate|夸大，夸张
exceed|超过，超出
excel|擅长，胜过
exception|例外，除外
excess|过量，过度
exchange|交换，交流
exclaim|呼喊，惊叫
exclude|排除，排斥
excursion|远足，短途旅行
execute|执行，处决
executive|行政的，执行官
exert|运用，发挥
exhaust|使筋疲力尽；排气
exhibit|展览，展示
exile|流放，流亡
expand|扩大，扩展
expel|驱逐，开除
expense|费用，开支
explode|爆炸，爆发
exploit|利用；剥削
explore|探索，勘探
export|出口，输出
expose|暴露，揭露
extend|延伸，延长
extent|程度，范围
extraordinary|非同寻常的，特别的
extreme|极度的，极端的
fabric|织物，结构
facility|设施，设备
factor|因素，要素
faculty|能力，系
fade|褪色，逐渐消失
failure|失败，失败者
faint|微弱的；头晕的
faith|信仰，信念
fancy|花哨的；想象
fantastic|极好的，奇异的
fare|车费，船费
fascinate|迷住，强烈吸引
fashionable|流行的，时髦的
fatal|致命的，毁灭性的
fatigue|疲劳，劳累
fault|错误，过失
favo(u)r|喜爱，赞成
feasible|可行的，可能的
feature|特征，特色
federal|联邦的，同盟的
fee|费用，酬金
fertile|肥沃的，多产的
fiction|小说，虚构
fierce|凶猛的，猛烈的
file|文件，档案
filter|过滤，筛选
finance|财政，金融
finite|有限的，有限度的
flame|火焰，火舌
flash|闪光，闪现
flavo(u)r|味道，风味
flee|逃跑，逃离
flexible|灵活的，柔韧的
flock|群集，聚集
flourish|繁荣，茂盛
fluctuate|波动，起伏
fluid|流体，液体
forbid|禁止，不许
forecast|预测，预报
forge|锻造，伪造
formal|正式的，正规的
format|格式，版式
formation|形成，构成
former|以前的，从前的
formula|公式，方程式
forth|向前，向外
foster|养育，培养
foundation|基础，基金会
fraction|小部分，分数
fragment|碎片，片段
framework|框架，结构
frank|坦率的，直率的
freight|货物，运费
frequency|频率，发生率
frequent|频繁的，经常的
friction|摩擦，摩擦力
frontier|边界，边境
frustrate|使沮丧，挫败
fulfill|履行，实现
function|功能，作用
fund|基金，资金
fundamental|基本的，根本的
furious|狂怒的，暴怒的
furnish|布置，提供
furthermore|此外，而且
fuss|大惊小怪，忙乱
gain|获得，赢得
gallery|画廊，走廊
gap|缺口，差距
garbage|垃圾，废物
garment|衣服，外衣
gasoline|汽油
gaze|凝视，注视
gear|齿轮，装置
generate|产生，引起
generous|慷慨的，大方的
genius|天才，天赋
genuine|真正的，真诚的
gesture|手势，姿势
giant|巨大的，巨人
glance|一瞥，扫视
glimpse|一瞥，一看
globe|地球，世界
glory|光荣，荣誉
glow|发光，发热
govern|统治，管理
grab|抓住，攫取
grace|优美，优雅
gradual|逐渐的，逐步的
graduate|毕业生；毕业
grain|谷物，颗粒
grant|授予，给予
graph|图表，曲线图
grasp|抓住，理解
grateful|感激的，感谢的
gratitude|感激，感谢
grave|严重的，重大的
gravity|重力，严重性
greedy|贪婪的，贪心的
greenhouse|温室，暖房
grind|磨碎，碾碎
grip|紧握，控制
gross|总的，毛的
guarantee|保证，担保
guideline|指导方针，准则
guilty|有罪的，内疚的
halt|停止，暂停
handful|一把；少数
handle|把手；处理
handy|方便的，手边的
harbor|海港，避难所
hardship|艰难，困苦
hardware|硬件，五金
harmony|和谐，融洽
harness|利用，治理
harsh|严厉的，刺耳的
haste|匆忙，急忙
hatred|仇恨，憎恶
haul|拖运，搬运
hazard|危险，危害
heading|标题，信头
heap|堆，大量
heave|举起，投掷
hedge|树篱，障碍物
heel|脚后跟，鞋跟
heir|继承人
hence|因此，从此
herd|兽群，牧群
hesitate|犹豫，迟疑
highlight|突出，强调
hinder|阻碍，妨碍
hint|暗示，线索
hip|臀部，髋骨
historic|有历史意义的
hollow|空的，空心的
holy|神圣的，圣洁的
honorable|光荣的，可敬的
hook|钩子，挂钩
horizon|地平线，视野
horn|号角，喇叭
horrible|可怕的，恐怖的
horror|恐怖，战栗
hostile|敌对的，敌意的
household|家庭的；家务
housing|住房，外壳
humble|谦卑的，简陋的
humor|幽默，诙谐
hunger|饥饿，渴望
hunt|打猎，搜寻
hurl|猛投，用力扔
hut|小屋，棚屋
ideal|理想的，完美的
identical|完全相同的，同一的
identity|身份，特征
idle|懒惰的，闲置的
ignorance|无知，愚昧
illegal|非法的，违法的
illustrate|说明，阐明
image|形象，图像
imaginary|想象中的，虚构的
imitate|模仿，仿效
immense|巨大的，广大的
immigrant|移民，侨民
impact|影响，冲击
impatient|不耐烦的，急躁的
implement|实施，执行
implication|含义，暗示
imply|暗示，意味
import|进口，输入
impose|强加，征税
impress|给...留下印象
impulse|冲动，推动
incident|事件，事变
incline|倾向于，斜坡
inclusive|包含的，包容的
income|收入，所得
incorporate|合并，包含
incredible|难以置信的，极好的
incur|招致，引起
independence|独立，自主
indicate|表明，暗示
indifferent|冷漠的，不感兴趣的
indispensable|必不可少的，必需的
individual|个人的，单独的
indoor|室内的
induce|引诱，引起
industrial|工业的，产业的
inevitable|不可避免的，必然的
infant|婴儿，幼儿
infect|传染，感染
infer|推断，推论
inferior|下等的，较差的
infinite|无限的，无穷的
inflation|通货膨胀
influence|影响，作用
inform|通知，告知
ingredient|成分，原料
inhabit|居住于，栖息于
inherit|继承，遗传
initial|最初的，开头的
initiative|主动性，首创精神
inject|注射，注入
injure|伤害，损害
innocent|无辜的，清白的
input|输入，投入
inquire|询问，调查
insert|插入，嵌入
insight|洞察力，深刻见解
inspect|检查，视察
inspire|鼓舞，激励
install|安装，设置
instance|例子，实例
instant|瞬间，立即的
instinct|本能，直觉
institute|学院，研究所
instruct|指示，命令
instrument|仪器，工具
insult|侮辱，冒犯
insurance|保险，保险费
integrate|使结合，使一体化
integrity|完整，正直
intellectual|智力的，知识分子
intelligent|聪明的，有才智的
intend|打算，想要
intense|强烈的，紧张的
interact|互动，相互作用
interfere|干涉，干扰
interior|内部的，内地的
intermediate|中间的，中级的
internal|内部的，国内的
interpret|口译，解释
interrupt|打断，中断
interval|间隔，间歇
interview|面试，采访
intimate|亲密的，私人的
invade|入侵，侵略
invasion|入侵，侵略
invent|发明，创造
invest|投资，投入
investigate|调查，研究
invisible|看不见的，无形的
invitation|邀请，请柬
involve|涉及，包含
isolate|使孤立，隔离
issue|问题，发行
item|项目，条款
jam|果酱；堵塞
jaw|下巴，颌
jealous|嫉妒的，吃醋的
