achieve|实现，获得
acquire|获得，取得
adapt|适应，改编
adequate|足够的，适当的
adjust|调整，调节
administration|管理，行政部门
adopt|采纳，收养
advanced|先进的，高级的
advantage|优点，优势
advertise|做广告，宣传
advocate|提倡，拥护
affect|影响
agency|代理处，机构
agenda|议程表，日程
agriculture|农业，农学
aid|帮助，援助
alarm|警报；惊慌
alcohol|酒精，酒
alter|改变，更改
alternative|可供选择的
ambition|野心，雄心
ambulance|救护车
ample|足够的，宽敞的
amuse|娱乐，逗乐
analyze|分析，解析
analysis|分析，分解
anniversary|周年纪念日
annoy|使烦恼，打扰
annual|每年的，年度的
anxiety|焦虑，忧虑
apparent|显然的，表面上的
appeal|呼吁；上诉
appearance|出现，外貌
appetite|胃口，欲望
applaud|鼓掌；称赞
appoint|任命，约定
appreciate|欣赏；感激
approach|方法；靠近
appropriate|适当的，恰当的
approve|批准，赞成
approximately|大约，近似地
argue|争论，辩论
argument|争论，论据
arise|出现；升起
arithmetic|算术
arrange|安排，整理
arrest|逮捕，拘留
arrival|到达，到来
artificial|人造的，假的
ashamed|惭愧的，羞耻的
aspect|方面，面貌
assess|评估，评价
assign|分配，指派
assist|帮助，协助
assistance|帮助，援助
associate|联系；伙伴
association|协会，联系
assume|假定，承担
assumption|假定，设想
assure|保证，确保
astonish|使惊讶
atmosphere|大气；气氛
attach|附上，系上
attack|攻击，抨击
attain|获得，达到
attempt|尝试，企图
attitude|态度，看法
attract|吸引，引起
attraction|吸引力，景点
attractive|有吸引力的
audience|观众，听众
authentic|真实的，可靠的
authority|权威；当局
automatic|自动的
available|可获得的，有空的
avenue|林荫道，大街
average|平均的；平均水平
avoid|避免，避开
award|奖品，奖金
aware|知道的，意识到的
awful|糟糕的，可怕的
background|背景，经历
backward|向后的，倒退的
bacon|培根，咸肉
badly|严重地；恶劣地
baggage|行李
balance|平衡；结余
balloon|气球
band|乐队；带子
bar|酒吧；条，棒
barbecue|烤肉野餐
bare|赤裸的；光秃秃的
bargain|便宜货；交易
bark|狗叫；树皮
barrier|障碍，屏障
base|基础，基地
basin|盆，水池
basis|基础，根据
bat|蝙蝠；球棒
bathe|洗澡，游泳
battery|电池
battle|战斗，战役
bay|海湾；咆哮
bean|豆，豆子
beard|胡须
beat|打，敲；节拍
beauty|美，美人
behave|表现，举止
behavior|行为，举止
being|存在；生物
belief|信念，信仰
belt|腰带，传送带
bend|弯曲，屈身
beneath|在...下方
benefit|利益，好处
besides|此外，而且
bet|打赌；确信
beyond|在...那边；超出
bid|出价；命令
billion|十亿
biology|生物学
birth|出生，诞生
bite|咬，叮
bitter|苦的，痛苦的
blame|责备，责怪
blank|空白的；茫然的
blanket|毯子
bleed|流血，出血
blend|混合，融合
blind|盲的，盲目的
block|大块；街区
bloom|开花；繁荣
blow|吹，刮风
board|板；委员会
boast|自夸，吹嘘
boil|沸腾，煮
bomb|炸弹；投弹
bone|骨头，骨质
boot|靴子
border|边界；边缘
bore|使厌烦；钻孔
bored|感到厌烦的
boring|令人厌烦的
borrow|借，借用
bother|打扰，麻烦
bottom|底部，基部
bounce|弹起，反弹
bound|一定的；有义务的
boundary|边界，分界线
bow|鞠躬；船头
boxing|拳击
brain|大脑，智力
branch|树枝；分部
brave|勇敢的，无畏的
breath|呼吸，气息
breathe|呼吸
brick|砖，砖块
bride|新娘
brief|简短的，简洁的
brilliant|杰出的，辉煌的
broad|宽的，广阔的
broadcast|广播，播放
brochure|小册子
broken|破碎的，坏掉的
broom|扫帚
budget|预算
bunch|束，串
burden|负担，重担
bureau|局，办事处
burn|燃烧；烧伤
burst|爆裂，爆炸
bury|埋葬，掩埋
bush|灌木，灌木丛
businessman|商人
butter|黄油
button|按钮；纽扣
cab|出租车，计程车
cabbage|卷心菜
cafe|咖啡馆，小餐馆
cage|笼子，鸟笼
calculate|计算，核算
calm|平静的；冷静的
camel|骆驼
camp|营地；扎营
campaign|运动，战役
canal|运河，水道
cancel|取消，撤销
cancer|癌症
candidate|候选人，报考者
candle|蜡烛
candy|糖果
cap|帽子，便帽
capable|有能力的，能干的
capacity|容量；能力
capital|首都；资本
captain|队长，船长
capture|捕获，占领
carbon|碳
career|职业，事业
careful|小心的，仔细的
careless|粗心的，漫不经心的
cargo|货物，船货
carpenter|木匠
carpet|地毯
carriage|四轮马车；客车厢
carrier|搬运工；载体
carrot|胡萝卜
cart|二轮马车；购物车
case|情况，案例
cash|现金，现款
cassette|磁带
cast|投掷；铸造
castle|城堡
casual|随意的，非正式的
catalog|目录
category|类别，种类
cattle|牛，家畜
cause|原因；引起
caution|小心，谨慎
cautious|小心的，谨慎的
cave|山洞，洞穴
cease|停止，终止
ceiling|天花板
celebrate|庆祝，祝贺
cell|细胞；小房间
cent|分，分币
central|中心的，主要的
century|世纪，百年
ceremony|典礼，仪式
certain|确定的，无疑的
certificate|证书，证明书
chain|链子；连锁店
challenge|挑战，难题
champion|冠军，拥护者
channel|频道；渠道
chapter|章，回
character|性格；角色
characteristic|特征，特点
charge|收费；指控
chart|图表，曲线图
chase|追逐，追求
chat|聊天，闲谈
cheat|欺骗，作弊
check|检查；支票
cheek|面颊，脸蛋
cheer|欢呼，喝彩
cheese|奶酪，干酪
chef|厨师，主厨
chemical|化学的；化学品
chemist|药剂师，化学家
chemistry|化学
cheque|支票
chess|国际象棋
chest|胸腔，箱子
chief|主要的；首领
childhood|童年，幼年
chocolate|巧克力
choice|选择，抉择
chopsticks|筷子
Christian|基督徒；信奉基督教的
Christmas|圣诞节
cigarette|香烟
circle|圆圈；圈子
circumstance|情况，环境
citizen|公民，市民
civil|公民的；国内的
civilian|平民，百姓
claim|声称；索赔
classic|经典的，古典的
click|点击；发出咔哒声
climate|气候，风气
climb|爬，攀登
clinic|诊所，门诊部
cloth|布，织物
clothing|衣服，衣着
cloudy|多云的，阴天的
clue|线索，提示
clumsy|笨拙的，笨手笨脚的
coach|教练；长途汽车
coal|煤，煤块
coast|海岸，海滨
cock|公鸡；龙头
code|代码，密码
coin|硬币；创造
collar|衣领，领子
colleague|同事，同僚
collect|收集，采集
collection|收藏品，收集
collision|碰撞，冲突
column|列，专栏
comb|梳子；梳理
combination|结合，组合
combine|结合，联合
comedy|喜剧，喜剧片
comfort|舒适；安慰
command|命令；掌握
comment|评论，意见
commerce|商业，贸易
commercial|商业的，商务的
commission|委员会；佣金
commit|犯（罪）；承诺
commitment|承诺，保证
committee|委员会
common|普通的，常见的
communicate|交流，沟通
communication|交流，通讯
community|社区，社会
companion|同伴，伴侣
company|公司；陪伴
compare|比较，对比
comparison|比较，对照
compete|竞争，比赛
competition|竞争，比赛
competitor|竞争者，对手
complain|抱怨，投诉
complaint|投诉，抱怨
complete|完全的；完成
complex|复杂的；复合的
component|组成部分，成分
compose|组成；作曲
composition|作文；成分
comprehension|理解（力）
comprehensive|全面的，综合的
computer|计算机，电脑
concentrate|集中；浓缩
concept|概念，观念
concern|关心；涉及
concerned|担心的；有关的
concert|音乐会，演唱会
conclude|推断出；结束
conclusion|结论，结束
concrete|具体的；混凝土
condition|条件；状况
conduct|行为；引导
conference|会议，研讨会
confidence|信心，自信
confident|自信的，确信的
confine|限制；监禁
confirm|确认，证实
conflict|冲突，矛盾
confuse|使困惑；混淆
confusion|困惑，混乱
connect|连接，联系
connection|连接，关系
conquer|征服，战胜
consequence|结果，后果
consequently|因此，所以
conservation|保存，保护
conservative|保守的，守旧的
consider|考虑，认为
considerable|相当大的，可观的
considerate|体贴的，考虑周到的
consist|由...组成
consistent|一致的，始终如一的
constant|不断的，持续的
constitute|组成，构成
constitution|宪法；体质
construct|建造，建设
construction|建设，建筑物
consult|咨询，商量
consume|消耗，消费
consumption|消费，消耗
contact|接触；联系
contain|包含，容纳
container|容器，集装箱
contemporary|当代的，同时代的
content|内容；满意的
contest|竞赛，比赛
context|上下文，语境
continent|大陆，洲
continue|继续，持续
contract|合同；收缩
contradiction|矛盾，冲突
contrary|相反的；对立面
contrast|对比，对照
contribute|贡献；捐助
contribution|贡献，捐款
control|控制，管理
controversial|有争议的，引起争议的
controversy|争议，争论
convenience|便利，方便
convenient|方便的，便利的
convention|大会；惯例
conventional|传统的，常规的
conversation|谈话，交谈
convert|转变，转换
convey|表达，传达
convince|说服，使确信
cookie|饼干
copy|复制；副本
core|核心，要点
corn|玉米，谷物
correct|正确的，恰当的
correspond|符合；通信
cottage|小屋，村舍
cotton|棉花；棉布
